Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
2/2/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
2/2/2021,00:00,,,Charges,,,,,15.02,,""
4/2/2021,00:00,,,Credit,,,,,3500,,"Bonus"
3/3/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/3/2021,00:00,,,Charges,,,,,13.46,,""
3/4/2021,00:00,,,Charges,,,,,15.14,,""
7/4/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
5/5/2021,23:15,,,Credit,,,,,892.32,,"Employer Contribution"
6/5/2021,20:01,,,Charges,,,,,15.4,,""
3/6/2021,11:36,,,Credit,,,,,892.32,,"Employer Contribution"
5/6/2021,00:00,,,Charges,,,,,16.66,,""
3/7/2021,00:00,,,Charges,,,,,16.66,,""
5/7/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
4/8/2021,00:00,,,Credit,,,,,892.32,,""
4/8/2021,00:00,,,Charges,,,,,16.66,,""
3/9/2021,00:00,,,Charges,,,,,16.66,,""
16/9/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/10/2021,00:00,,,Charges,,,,,16.66,,""
11/10/2021,12:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/11/2021,00:00,,,Charges,,,,,16.66,,""
15/11/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
3/12/2021,00:00,,,Charges,,,,,16.66,,""
13/12/2021,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
13/12/2021,00:00,,,Credit,,,,,72017,,""
6/1/2022,00:00,,,Charges,,,,,8.63,,""
6/1/2022,00:00,,,Charges,,,,,8.03,,""
6/1/2022,00:00,,,Charges,,,,,1.65,,""
9/1/2022,00:00,,,Credit,,,,,0.16,,""
9/1/2022,00:00,,,Interest,,,,,2.11,,""
13/1/2022,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
5/2/2022,00:00,,,Charges,,,,,16.66,,""
5/2/2022,00:00,,,Charges,,,,,1.37,,""
9/2/2022,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/2/2022,00:00,,,Interest,,,,,0.49,,""
9/2/2022,00:00,,,Interest,,,,,3.07,,""
14/2/2022,00:00,,,Credit,,,,,17457,,""
28/2/2022,00:00,,,Charges,,,,,1.19,,""
3/3/2022,00:00,,,Charges,,,,,11.02,,""
